Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
49,Matt Chapman,33,SFG,NL,2.8,79,333,289,35,70,17,1,7,42,0,1,36,74,0.242,0.333,0.381,0.714,105,0.319,106,110,6,5,0,3,1,*5/D,,chapmma01
50,Luis Arraez,29,SFG,NL,2.4,75,332,299,40,96,16,6,3,30,6,0,18,13,0.321,0.358,0.445,0.803,129,0.355,128,133,5,3,5,7,3,*4/DH,,arraelu01
51,Willy Adames,30,SFG,NL,1.1,78,331,311,40,70,19,1,14,32,1,2,18,91,0.225,0.269,0.428,0.697,96,0.308,98,133,2,1,0,1,0,*6,,adamewi01
52,Brandon Lowe,31,PIT,NL,2.8,75,331,293,50,73,19,1,19,51,0,0,33,83,0.249,0.326,0.515,0.842,128,0.364,127,151,3,2,0,3,0,*4/DH,,lowebr01
53,Yandy Diaz,34,TBR,AL,2.5,75,330,287,41,95,14,1,12,51,1,0,32,44,0.331,0.412,0.512,0.924,155,0.403,155,147,9,9,0,2,4,*D,,diazya01
54,Tyler Soderstrom,24,ATH,AL,2.3,78,330,285,41,70,20,2,13,41,1,1,42,58,0.246,0.345,0.467,0.812,119,0.36,122,133,7,2,0,1,4,*7/HD,,soderty01
55,Jordan Walker,24,STL,NL,3,77,330,303,46,88,16,0,18,58,10,3,23,84,0.29,0.342,0.521,0.864,141,0.38,144,158,6,2,0,2,1,*9/DH,,walkejo02
56,Corbin Carroll,25,ARI,NL,3.5,77,329,287,48,80,17,9,13,42,9,1,36,70,0.279,0.365,0.537,0.901,147,0.39,144,154,4,4,0,2,1,*9/D,,carroco02
57,Cole Young,22,SEA,AL,2.3,82,328,295,34,74,12,1,7,37,2,3,22,58,0.251,0.315,0.369,0.684,96,0.302,94,109,2,7,1,3,0,*4/6,,youngco01
58,Jakob Marsee,25,MIA,NL,-0.2,79,327,273,40,54,10,3,4,19,18,9,43,77,0.198,0.321,0.3,0.621,78,0.296,86,82,1,7,3,1,0,*8/HD,,marseja01
59,Vladimir Guerrero Jr.,27,TOR,AL,0.7,77,326,282,44,77,12,0,4,32,6,1,35,35,0.273,0.356,0.358,0.714,96,0.326,95,101,9,4,0,5,5,*3/DH,,guerrvl02
60,Chase Meidroth,24,CHW,AL,1.4,77,325,289,44,77,14,0,6,25,2,2,27,81,0.266,0.331,0.377,0.708,99,0.317,98,109,4,2,4,2,0,*4/6H5,,meidrch01
61,Geraldo Perdomo,26,ARI,NL,2.2,77,325,266,35,62,10,3,4,27,11,7,48,40,0.233,0.349,0.338,0.687,93,0.315,96,90,7,2,4,5,0,*6/H,,perdoge01
62,Ben Rice,27,NYY,AL,2,75,325,281,56,79,15,2,22,53,2,0,40,76,0.281,0.372,0.584,0.956,162,0.411,162,164,5,2,0,2,3,3D/H,,ricebe01
63,Josh Naylor,29,SEA,AL,-0.3,75,324,295,28,76,10,0,8,33,14,3,25,42,0.258,0.319,0.373,0.692,98,0.318,99,110,11,2,0,1,2,*3,,naylojo01
64,Kazuma Okamoto,30,TOR,AL,1.9,79,324,286,42,69,11,0,18,51,0,0,32,102,0.241,0.324,0.469,0.793,113,0.344,110,134,5,4,0,2,0,*5/3D,,okamoka01
65,William Contreras,28,MIL,NL,1.6,74,323,288,45,87,12,0,8,48,1,2,30,42,0.302,0.365,0.427,0.792,119,0.351,120,123,7,1,0,4,3,*2D/H,,contrwi02
66,Manny Machado,33,SDP,NL,-0.4,77,323,283,37,52,13,0,14,43,1,1,34,72,0.184,0.267,0.378,0.645,79,0.292,80,107,6,0,1,5,1,*5/D,,machama01
67,Jarren Duran,29,BOS,AL,0.6,73,322,295,37,59,9,2,12,38,11,0,21,96,0.2,0.258,0.366,0.624,75,0.281,69,108,2,3,0,3,0,*7/8DH,,duranja01
68,Willson Contreras,34,BOS,AL,2.7,77,321,275,38,76,13,2,16,46,1,1,29,83,0.276,0.371,0.513,0.883,148,0.383,148,141,7,14,0,3,1,*3/D,,contrwi01
